Name,Address,Location,MinPrice,MaxPrice,Cuisine,Longitude,Latitude,PhoneNumber,Award
Asia,"Piazza G. Motta 25, Ascona, 6612, Switzerland",Ascona,64,133,Asian,8.76857,46.15411,4.19E+10,Bib Gourmand
Zum Kaiser Franz im RÃ¶ssl,"Vorstadt 8, Zug, 6300, Switzerland",Zug,50,103,Austrian,8.514791,47.16858,4.14E+10,Bib Gourmand
TsÃ© Fung,"Route de Lausanne 301, Bellevue, 1293, Switzerland",Bellevue,78,188,Chinese,6.149451,46.25041,4.12E+10,1 MICHELIN Star
Golden Dragon,"Talstrasse 3, Davos Platz, 7270, Switzerland",Davos Platz,51,72,Chinese,9.820257,46.79142,4.18E+10,Bib Gourmand
Sternen - Badstube,"SennhÃ¼ttestrasse 1, Wangen bei DÃ¼bendorf, 8602, Switzerland",Wangen bei DÃ¼bendorf,52,142,Classic Cuisine,8.645456,47.41101,4.14E+10,1 MICHELIN Star
L'Ermitage,"Route du Village 26, Vufflens-le-ChÃ¢teau, 1134, Switzerland",Vufflens-le-ChÃ¢teau,85,285,Classic Cuisine,6.469443,46.52773,4.12E+10,1 MICHELIN Star
SchlÃ¼ssel - Nidbergstube,"Oberdorfstrasse 5, Mels, 8887, Switzerland",Mels,75,190,Classic Cuisine,9.4186,47.04635,4.18E+10,1 MICHELIN Star
Sihlhalde,"Sihlhaldenstrasse 70, Gattikon, 8136, Switzerland",Gattikon,68,156,Classic Cuisine,8.547602,47.29163,4.14E+10,1 MICHELIN Star
Gasthaus zum Kreuz,"Stellistrasse 3, Dallenwil, 6383, Switzerland",Dallenwil,62,148,Classic Cuisine,8.390924,46.93186,4.14E+10,1 MICHELIN Star
Le Murenberg,"Krummackerstrasse 4, Bubendorf, 4416, Switzerland",Bubendorf,50,125,Classic Cuisine,7.738697,47.45452,4.16E+10,1 MICHELIN Star
Rathauskeller Bistro,"Ober-Altstadt 1, Zug, 6300, Switzerland",Zug,37,118,Classic Cuisine,8.515004,47.16606,4.14E+10,Bib Gourmand
Zollhaus,"Bahnhofstrasse 4, Olten, 4600, Switzerland",Olten,65,109,Classic Cuisine,7.906209,47.34896,4.16E+10,Bib Gourmand
Hirschen,"Morgartenstrasse 1, OberÃ¤geri, 6315, Switzerland",OberÃ¤geri,37,125,Classic Cuisine,8.614732,47.13438,4.14E+10,Bib Gourmand
Wirtshus zum Wyberg Gourmet-StÃ¼bli,"Oberteufenerstrasse 1, Freienstein-Teufen, 8428, Switzerland",Freienstein-Teufen,99,125,Classic Cuisine,8.565588,47.55149,4.14E+10,Bib Gourmand
Hirschen,"Hauptstrasse 125, Erlinsbach, 5015, Switzerland",Erlinsbach,54,136,Classic Cuisine,8.007028,47.40644,4.16E+10,Bib Gourmand
La Pinte Communale,"Place du MarchÃ© 4, Aigle, 1860, Switzerland",Aigle,50,139,Classic Cuisine,6.96951,46.31797,4.12E+10,Bib Gourmand
RÃ¶ssli,"Dorfstrasse 1, Adligenswil, 6043, Switzerland",Adligenswil,52,98,Classic Cuisine,8.364088,47.0712,4.14E+10,Bib Gourmand
Gasthaus Zur Fernsicht - Incantare,"Seeallee 10, Heiden, 9410, Switzerland",Heiden,250,250,Classic Cuisine,9.531982,47.44609,4.17E+10,2 MICHELIN Stars
La Table d'Adrien,"Chemin des Creux, Verbier, 1936, Switzerland",Verbier,145,205,Contemporary,7.224699,46.10354,4.13E+10,1 MICHELIN Star
Zum Ã„usseren Stand,"Zeughausgasse 17, Berne, 3011, Switzerland",Berne,95,145,Contemporary,7.445899,46.9488,4.13E+10,1 MICHELIN Star
SALZHAUS,"Landhausquai 15a, Solothurn, 4500, Switzerland",Solothurn,35,96,Contemporary,7.536744,47.20634,4.13E+10,Bib Gourmand
Neue Blumenau,"Romanshornerstrasse 2, LÃ¶mmenschwil, 9308, Switzerland",LÃ¶mmenschwil,60,175,Country cooking,9.353014,47.49417,4.17E+10,1 MICHELIN Star
Truube,"Rotenwies 9, Gais, 9056, Switzerland",Gais,110,145,Country cooking,9.460683,47.36616,4.17E+10,1 MICHELIN Star
